user_id,job_id,resume_filename,applied_at
3,1,user_3_umairNEWresume.pdf,2025-08-03T02:38:29.309936
6,1,user_6_guru resume.pdf,2025-08-20T08:35:16.689180
6,6,user_6_guru resume.pdf,2025-08-20T09:00:31.252603
6,0,user_6_guru resume.pdf,2025-08-21T14:10:55.382919
9,7,user_9_Umair'sResume.pdf
9,0,user_9_Umair'sResume.pdf
